time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1991302152115673e-07,-1.0104614793735987e-07,10.005901834731427,6.282934301103804,0.00019648128953342336,0.0,-1.956721053983789e-05,-1.6002570492973554e-05,0.1967137531553978,-0.01424081429657214,0.009129861971061982,0.0,466.89608225931767,467.60765673353023,466.4610320594481,465.3478895240754
0.12000000000000001,-9.081718049061203e-06,-1.0767125121151474e-05,10.023702672309826,6.282049224745563,0.001209757581824178,0.0,-0.00037085610196624375,-0.0004410823047015863,0.3965987361425437,-0.015792209354179843,0.02908507095413142,0.0,466.2883026041478,467.8442758355519,468.1576726634924,468.03708331389925
0.18,-5.8250177288885544e-05,-5.9711875372864606e-05,10.046982351800343,6.280715284485549,0.003553010885389618,0.0,-0.001445483987557606,-0.0012828519184284544,0.37939615996505116,-0.03998997542006645,0.05386952243464269,0.0,396.5265089305975,398.79735356394553,399.74275544382704,397.5317674010958
0.23999999999999996,-0.0002265318852650983,-0.00019404333631297405,10.071742702193296,6.278156050394891,0.006715358464777665,0.0,-0.004474213456206182,-0.0034348123482748714,0.44592251465755706,-0.04859748462273875,0.05027135597480907,0.0,426.5729505055907,426.2675686344752,426.5785879471334,425.84194578565916
0.3,-0.0006876572410279771,-0.0005443407179794706,10.107028949570884,6.276132615348651,0.010839681263359324,0.0,-0.011375542290710902,-0.00854735269095521,0.7301421229023166,-0.013972727796700736,0.09149731006307522,0.0,490.5314975682469,493.58563852902466,490.96315426971137,493.5244558259812
0.36000000000000004,-0.0016259581345511402,-0.00121254271045873,10.154738010605856,6.27533472704577,0.01648210219534718,0.0,-0.020493001106437942,-0.013812396206755206,0.8600624306786085,-0.01198201855190536,0.09869154600860043,0.0,446.729948935988,447.32352238484265,446.6536039627453,446.81602136553795
0.4200000000000001,-0.0031467268830692226,-0.0021728783032491186,10.2052110653537,6.275010335918733,0.023001727263418204,0.0,-0.030711747726065473,-0.018239506856385732,0.8223909074630656,0.005265763552472697,0.12346813787404806,0.0,390.9389456803334,393.2522425902745,390.3019954395359,391.9082892177482
0.48000000000000015,-0.00554728631316604,-0.0034503168638893023,10.259751207505301,6.27667248499329,0.03091012886606137,0.0,-0.05017191252591835,-0.024207255674826123,0.9954571956050713,0.0533252549142687,0.14470890197881905,0.0,459.6751930951071,461.37010410154375,458.1466058270881,461.9516252437242
0.5400000000000001,-0.009314511767017829,-0.005040495396943356,10.32509159714391,6.2794568720406865,0.03933000332336345,0.0,-0.07638101365608814,-0.028447047434429603,1.18234878244922,0.02664000387046319,0.12971359721106232,0.0,465.1325308313611,463.97407604661805,466.08122505157127,463.99228391845264
0.6000000000000002,-0.014726952843800897,-0.006817046258569931,10.398705385391134,6.281152079312896,0.04664152806866806,0.0,-0.10479609749082174,-0.03060545840497082,1.2713160086318567,0.03129897420559305,0.09754792576678706,0.0,436.46145001122426,433.78210386149215,434.6649145110829,435.0553728811838
0.6600000000000003,-0.022021598411208144,-0.008688984894781556,10.47840728308965,6.282967518666577,0.052192972191687836,0.0,-0.13894886878590343,-0.03160001500676881,1.3852515380553974,0.02808850638193542,0.07988509976852123,0.0,443.73380723649814,442.2887446819496,443.4826112201476,443.219157170079
0.7200000000000003,-0.031556587526197534,-0.010582881421518775,10.566409704549887,0.0014943294675608954,0.05700646745959226,0.0,-0.17940815314587832,-0.03134090197579073,1.5479241187328394,0.029414101712239786,0.08089563614560981,0.0,459.0389200268966,459.1240504522236,458.01985717920456,458.1254601685923
0.7800000000000004,-0.04368791636940914,-0.012420492715449035,10.665201054015577,0.003214225068408183,0.0616208474500759,0.0,-0.22550649022340535,-0.02971068526372263,1.7448036596832672,0.027123080316000667,0.06741962763231514,0.0,470.00052712543027,468.95930604839094,469.321552300701,469.1438980155999
0.8400000000000004,-0.058480006908240956,-0.014132186437641135,10.772420786580193,0.004870805867901673,0.06589587781334938,0.0,-0.2679716738940721,-0.027182711596344816,1.8290241276125472,0.028565394615308298,0.07797924030139294,0.0,435.8076611126423,436.69329595700015,434.3454804307195,434.46662598337105
0.9000000000000005,-0.07601528805456523,-0.015649485421959375,10.886281174817487,0.007139689839465113,0.07055178049509347,0.0,-0.31702562769084675,-0.02317649442613013,1.966054010891049,0.051808016422336456,0.0768260314810122,0.0,451.8023599420782,451.71405866407713,451.870048217776,453.7403339412144
0.9600000000000005,-0.09684928356934898,-0.01684403312279151,11.011907615238748,0.010748573698329267,0.0750231563292525,0.0,-0.3779773645812349,-0.016221602085344688,2.2209790494261736,0.07305881979646237,0.06946837025476721,0.0,487.8013827933003,487.25546732607444,487.35713142274363,488.944923674433
1.0200000000000005,-0.12143414977197785,-0.017527484418666382,11.152584670307757,0.014728177040765011,0.07892566773759402,0.0,-0.441983860135679,-0.0060425855033414706,2.4676987312018026,0.04737242730310381,0.0542682915807281,0.0,487.8516851933357,486.7181238884961,486.7456984847768,484.82239734024824
1.0800000000000005,-0.1496378516761341,-0.017566827577005215,11.304092167805752,0.018473907443731008,0.08216358141290048,0.0,-0.49846058214572103,0.005080290662056684,2.582253368310224,0.08234135061165922,0.053352346349584835,0.0,448.7117559522458,448.63929498871124,446.2332650618405,449.08120220840283
1.1400000000000006,-0.18141753845417397,-0.016825409757770863,11.46389364217223,0.02311111920795561,0.08503611831964264,0.0,-0.5611758121120206,0.02016048746896997,2.7440324230967303,0.06454583084155675,0.03371176389021581,0.0,463.3972247189695,461.8520111554388,464.655925172801,463.2631457389741
